,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
TCGA-A1-A0SF-01,-0.45546025,-0.44093683,0.46471113,-0.766852,1.378782,-0.54081684,-0.36540648,0.43004933,3.594417,-0.6373291,-0.5226119,4.7575536,2.5921867,-0.53480923,3.6369448,-0.49858898,-0.56100243,-0.53863335,-0.5209988,0.3534292,0.6099303,-0.14106536,-0.46169686,-0.45356444,1.1560464,-0.41792333,-0.5575005,-0.4770743,0.9817024,-0.018362999,-0.5379894,-0.2537096,-0.62909114,-0.5019469,-0.49635828,3.0646505,-0.49923384,-0.7073668,-0.63530564,-0.50121826,-0.5101471,2.6056664,-0.5869089,-0.4316876,3.099799,-0.5101228,-0.5248044,-0.5218647,2.008512,-0.4855901
TCGA-A1-A0SG-01,-0.45546025,-0.44093683,0.13900423,-0.766852,-0.041015714,-0.54081684,-0.36540648,1.489895,3.4146342,-0.6373291,-0.5226119,6.2581973,2.5384197,-0.53480923,4.500999,-0.49858898,-0.56100243,-0.53863335,-0.5209988,0.9240826,0.20997822,-0.6052943,1.2210745,-0.5362559,0.42875844,-0.41792333,0.8356389,-0.5223826,-0.46088487,0.8858278,-0.5379894,-0.6105234,-0.62909114,-0.5019469,-0.49635828,4.326568,-0.49923384,-0.7073668,-0.63530564,-0.50121826,-0.5101471,0.9085794,-0.5869089,-0.4316876,3.6455355,-0.5101228,-0.5248044,-0.5218647,0.3439352,-0.4855901
TCGA-A1-A0SH-01,-0.45546025,-0.44093683,-0.23431745,-0.766852,-0.4307368,-0.54081684,-0.36540648,-0.47461203,1.8258443,-0.6373291,0.8745062,5.283602,1.8188045,-0.53480923,3.527412,-0.49858898,-0.56100243,-0.53863335,-0.5209988,0.8618087,-0.39960742,-0.6052943,2.3603811,-0.5362559,-0.55480665,-0.41792333,2.7911315,-0.5223826,0.011775792,1.9813957,-0.5379894,-0.6105234,-0.62909114,-0.5019469,-0.49635828,1.7767392,-0.49923384,-0.7073668,-0.63530564,-0.50121826,-0.5101471,2.2955334,-0.5869089,-0.4316876,3.4195485,-0.5101228,-0.5248044,-0.5218647,-0.5610892,-0.4855901
TCGA-A1-A0SI-01,-0.4119315,3.363734,0.48221195,1.617153,-0.4307368,2.9183388,-0.36540648,1.3527478,-0.80320215,-0.6373291,0.36855197,-0.641754,-0.7034998,-0.53480923,-0.6785245,2.6396422,1.9054031,-0.08941534,-0.5209988,-0.54953843,-0.39960742,-0.6052943,-0.17639041,3.104679,-0.55480665,-0.41792333,-0.5575005,-0.5223826,-0.7660108,-0.7635741,0.7274842,-0.6105234,0.2556998,3.220223,1.2996349,-0.60694826,-0.49923384,0.9746572,-0.63530564,-0.50121826,1.1187053,-0.5875638,2.154155,1.2088324,-0.6411148,0.49658978,-0.5248044,-0.5218647,-0.5610892,1.0454164
TCGA-A1-A0SJ-01,-0.45546025,-0.44093683,0.3012241,-0.766852,-0.4307368,-0.48311093,-0.36540648,-0.47461203,2.3487687,-0.6373291,0.9810751,5.2315474,1.8765545,-0.53480923,3.3573575,-0.49858898,-0.56100243,-0.53863335,-0.5209988,0.4638905,-0.39960742,-0.6052943,2.0618892,-0.5362559,-0.55480665,-0.41792333,1.9550575,-0.5223826,0.79695934,1.8105593,-0.5379894,-0.6105234,-0.62909114,-0.5019469,-0.49635828,1.0925543,-0.49923384,-0.7073668,-0.1028353,-0.50121826,-0.5101471,1.8723605,-0.5869089,-0.4316876,3.3376286,-0.5101228,-0.5248044,-0.5218647,-0.5610892,-0.4855901
TCGA-A1-A0SK-01,0.0073574483,-0.44093683,3.3656924,3.5296497,3.1791818,1.4446576,1.3718399,-0.47461203,-0.80320215,1.7761831,-0.24046782,-0.641754,-0.7034998,2.7117372,-0.6785245,-0.49858898,-0.56100243,0.68696296,1.8828068,-0.54953843,-0.39960742,-0.6052943,-0.5723691,0.09381044,-0.55480665,-0.41792333,-0.5575005,2.4604263,-0.7660108,-0.7635741,0.29266822,-0.6105234,2.0722709,0.7647526,-0.49635828,-0.60694826,1.7371475,1.8881716,-0.63530564,-0.50121826,2.7473166,-0.5875638,1.995429,3.5164015,-0.6411148,1.3701248,2.6565442,4.559169,1.7181041,0.6428436
TCGA-A1-A0SM-01,-0.45546025,-0.44093683,0.31767476,-0.766852,-0.4307368,-0.54081684,-0.36540648,0.1637291,1.4749866,-0.6373291,-0.5226119,1.9698179,1.1117699,-0.53480923,1.0686417,-0.49858898,-0.56100243,-0.53863335,-0.5209988,-0.0736357,0.7606858,-0.27917525,0.3601123,-0.5362559,-0.18367404,-0.41792333,-0.072167724,-0.5223826,1.2627275,0.9068124,-0.5379894,-0.40033448,-0.62909114,-0.5019469,-0.49635828,1.5758725,-0.49923384,-0.7073668,-0.02457261,-0.50121826,-0.5101471,0.70396477,-0.5869089,-0.4316876,1.2942307,-0.5101228,-0.5248044,-0.5218647,0.32180095,-0.4855901
TCGA-A1-A0SN-01,3.232925,2.1153271,-0.50109667,1.8367265,-0.4307368,3.996728,-0.36540648,-0.47461203,-0.80320215,0.21472603,1.9200318,-0.641754,-0.7034998,-0.53480923,-0.6785245,2.5713553,0.7482391,-0.53863335,-0.5209988,1.2257273,-0.39960742,-0.6052943,2.3184085,3.6919966,-0.55480665,-0.41792333,-0.5575005,-0.5223826,-0.7660108,-0.7635741,-0.5379894,0.52235097,1.2166305,1.8183897,2.349526,-0.60689205,-0.12459728,0.81283736,-0.63530564,-0.50121826,-0.5101471,-0.5875638,0.42196375,0.7360544,-0.6411148,2.9318888,-0.5248044,0.11353791,-0.5610892,3.6733274
TCGA-A1-A0SO-01,1.7299964,1.0274321,0.9864709,3.9687052,1.231024,5.7337666,0.8289616,-0.47461203,-0.80320215,0.58039653,1.1076407,-0.641754,-0.7034998,1.2951694,-0.6785245,-0.49858898,0.06661421,0.66072106,1.6448483,-0.54953843,-0.39960742,-0.6052943,-0.32860145,2.8493385,-0.55480665,-0.41792333,-0.5575005,2.7876601,-0.7660108,-0.7635741,1.0532846,-0.6105234,0.7901366,2.9196794,-0.49635828,-0.60694826,0.51018476,2.5814204,-0.63530564,-0.50121826,3.42233,-0.5875638,2.5542433,2.65613,-0.6411148,0.7311244,0.36476713,4.7512045,1.1706831,2.1786728
TCGA-A1-A0SP-01,-0.45546025,-0.44093683,3.537077,3.4076457,4.108038,1.9248629,3.484768,-0.47461203,-0.80320215,1.4951949,-0.5226119,-0.641754,-0.7034998,4.0196004,-0.6785245,-0.49858898,-0.56100243,1.5340364,3.5776293,-0.54953843,-0.39960742,-0.6052943,-0.5723691,0.1640454,-0.55480665,-0.389724,-0.5575005,2.9506454,-0.7660108,-0.7635741,-0.16159552,-0.6105234,3.1783848,-0.074759156,-0.49635828,-0.60694826,1.747506,1.8228737,-0.63530564,-0.50121826,2.9992795,-0.5875638,2.314565,4.269641,-0.6411148,0.8343842,3.813751,3.8059542,2.0055473,0.43875802
TCGA-A1-A0SQ-01,0.77809983,0.18675551,-0.50109667,-0.766852,-0.4307368,-0.54081684,-0.36540648,0.16407928,-0.6754567,-0.6373291,-0.5226119,-0.34998956,-0.7034998,-0.53480923,-0.18309179,1.0397062,-0.56100243,-0.53863335,-0.5209988,0.19256711,1.4186902,-0.037748873,1.3880782,0.21674043,-0.55480665,-0.41792333,0.11985093,-0.032209575,0.15153259,0.6138699,-0.5379894,0.2688151,-0.62909114,-0.05874157,-0.49635828,1.5968632,-0.49923384,-0.26849598,0.1309911,-0.50121826,-0.5101471,1.039619,-0.5869089,-0.4316876,-0.64103943,-0.16130891,0.06042272,-0.5218647,0.013782322,-0.4855901
TCGA-A2-A04N-01,-0.45546025,-0.44093683,0.4209463,-0.766852,0.4701669,-0.54081684,-0.36540648,0.21159825,2.7073033,-0.6373291,-0.5226119,5.4841504,2.6290834,-0.53480923,3.8604279,-0.49858898,-0.56100243,-0.53863335,-0.5209988,-0.15970531,-0.39960742,-0.6052943,1.2520604,-0.5362559,-0.43706226,-0.41792333,0.92334735,-0.5223826,0.25893134,0.53136766,-0.5379894,-0.6105234,-0.62909114,-0.5019469,-0.49635828,3.211141,-0.49923384,-0.7073668,-0.63530564,-0.50121826,-0.5101471,1.4042752,-0.5869089,-0.4316876,3.5752854,-0.5101228,-0.5248044,-0.5218647,0.14041859,-0.4855901
TCGA-A2-A04P-01,-0.15898618,-0.44093683,2.8343868,3.2520428,3.565277,1.842957,4.2974963,-0.47461203,-0.80320215,1.701051,-0.5226119,-0.641754,-0.7034998,3.485797,-0.6785245,-0.49858898,-0.56100243,1.7537384,3.0637717,-0.54953843,-0.39960742,-0.6052943,-0.5723691,-0.3165353,-0.55480665,-0.1166299,-0.5575005,2.4231238,-0.7660108,-0.7635741,-0.24096626,-0.6105234,2.9105687,-0.5019469,-0.49635828,-0.60694826,2.4130535,2.4359064,-0.63530564,-0.50121826,2.8886046,-0.5875638,1.6347628,2.92872,-0.6411148,0.42603558,2.8319604,3.791519,1.0911224,0.8416822
