,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
MB-0199,2.1129918,3.1014228,-0.6478273,2.332674,-0.762171,-0.62914485,-0.70211136,-0.57840884,-0.6399554,-0.72195256,5.207534,-0.6578974,-0.6501329,-0.7428774,3.2183123,-0.8426017,-0.7419218,0.7664657,14.869486,3.6032825,18.7338,9.41601,-0.7623849,-0.6691504,2.0099301
MB-0517,14.927679,22.375128,-0.6478273,-0.60639787,14.929033,5.4693785,-0.70211136,-0.57840884,3.0116668,-0.72195256,-0.66562355,-0.6578974,-0.6501329,-0.7428774,-0.6771669,-0.8426017,1.6654075,12.301088,1.1932936,15.214024,-0.58285934,0.45266843,-0.7623849,-0.6691504,22.415247
MB-0155,-0.6336326,9.886873,-0.6478273,12.927503,-0.762171,-0.28419665,-0.70211136,3.3952851,-0.6399554,-0.72195256,1.4652678,16.682903,-0.6501329,-0.7428774,23.803104,11.734761,-0.7419218,-0.7743588,40.57521,6.6546702,40.27181,42.427345,-0.7623849,-0.6691504,7.596965
MB-0428,0.21377367,2.3446841,-0.6478273,-0.60639787,1.7472556,-0.62914485,-0.70211136,-0.57840884,-0.6399554,-0.72195256,8.0112,1.6562331,-0.6501329,-0.7428774,4.0838656,-0.8426017,-0.4990169,0.19519919,15.282774,7.675838,16.17972,13.770533,-0.7623849,-0.6691504,9.887018
MB-0117,1.1111109,4.361595,-0.6478273,-0.60639787,3.1455925,-0.62914485,-0.70211136,-0.57840884,-0.6399554,-0.72195256,7.654791,0.2207039,-0.6501329,-0.7428774,2.422913,-0.8426017,0.72952914,1.50369,14.189821,8.893047,15.669992,12.668045,-0.7623849,-0.6691504,11.739168
MB-0906,-0.6336326,5.143231,-0.6478273,16.581951,-0.762171,-0.62914485,-0.70211136,10.335553,-0.6399554,-0.72195256,0.9430833,19.079842,-0.6501329,-0.7428774,31.98603,14.91669,-0.7419218,-0.7743588,31.372458,11.451892,31.829765,46.959446,-0.7623849,-0.6691504,13.616095
MB-0249,-0.6336326,1.162307,-0.6478273,22.06115,-0.762171,3.236137,-0.70211136,13.657858,-0.6399554,-0.72195256,1.862192,17.750225,0.2702548,-0.7428774,38.635635,22.118391,-0.7419218,-0.7743588,36.51647,12.615108,36.242115,46.28026,-0.7623849,-0.6691504,9.558113
MB-0660,-0.6336326,-0.61723197,-0.6478273,18.282543,-0.762171,1.226237,-0.70211136,12.944106,-0.6399554,-0.72195256,2.6244507,14.675072,1.2255223,-0.7428774,33.83273,16.489204,-0.7419218,-0.7743588,29.38498,11.201272,27.359415,37.659153,-0.7623849,-0.6691504,8.171448
MB-0497,9.220183,18.68265,-0.6478273,-0.60639787,17.169315,0.016156375,-0.70211136,-0.57840884,4.9351377,-0.72195256,-0.66562355,-0.6578974,-0.6501329,-0.7428774,-0.41503102,-0.8426017,6.2626143,10.570628,0.23715556,20.772993,-0.58285934,5.8222957,-0.7623849,-0.6691504,26.949041
MB-0434,5.700959,12.017481,-0.6478273,-0.60639787,6.80018,0.22569805,-0.70211136,-0.57840884,4.4150815,-0.72195256,2.6150565,-0.6578974,-0.6501329,-0.7428774,-0.6771669,-0.8426017,0.25919163,5.543422,1.4462681,8.42518,-0.27007958,2.1840124,-0.7623849,-0.6691504,11.450634
