,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
MB-0445,1.8800204,1.7134283,1.3842008,-0.80364376,1.6555109,-1.0862778,-0.643354,-0.4021818,-0.7212876,0.58758265,1.9126222,1.4656518,0.6721482,-0.78668106,-0.7211792,-0.11123878,-1.0141002,-1.1285046,0.14490932,-0.7841134,-0.84214246,-0.8235022,-0.5132208,-0.5183241,0.75119317
MB-0199,1.8091583,1.5692096,0.89845055,-0.8112837,1.5778747,-1.0862778,-0.643354,-0.66728306,-0.7212876,0.91743535,1.5505064,1.3687973,0.6174998,-0.78668106,-0.4975304,0.461577,-0.20813918,-1.1285046,-0.40354374,0.7405797,-0.84214246,-0.8235022,0.033027053,-0.5183241,1.3799978
MB-0517,1.6028821,1.4182918,0.66791147,-0.8112837,1.7164588,-1.0862778,-0.643354,-0.66728306,-0.7212876,0.8864779,1.7235277,1.5026412,0.42491543,-0.78668106,-0.7211792,0.02759993,-0.31881142,-1.1285046,-0.5139533,0.11641139,-0.84214246,-0.8235022,-0.0662958,-0.5183241,0.8707682
MB-0155,-0.88240117,-1.1498251,1.940712,-0.58664817,-0.8057523,1.8075737,1.177002,-0.66728306,1.6503185,2.2900426,-0.7313867,-0.72217536,1.2963057,2.151338,-0.7211792,-0.86160535,-1.0574118,-1.1285046,-0.7995881,1.5180278,2.0404787,2.0306525,-0.65706813,-0.26348513,-0.94569886
MB-0428,-0.88240117,-1.1498251,0.051100075,-0.8112837,-0.59937644,-0.871258,1.8060496,-0.66728306,-0.7212876,0.30037123,-0.7313867,-0.72217536,-1.1363635,0.47241974,2.1110232,-0.86160535,-1.0574118,0.7735752,-0.7995881,-0.56083,-0.84214246,1.0513774,-0.65706813,2.46257,-0.94569886
MB-0117,1.5785623,1.1545727,0.0873394,-0.8112837,1.2316337,-1.0862778,-0.32422525,-0.66728306,-0.7212876,0.69681984,1.1774888,1.0972972,1.2897525,0.18108732,0.7723209,-0.86160535,-0.6545608,-1.1285046,-0.7995881,-0.6437256,-0.84214246,-0.8235022,0.66545355,-0.32526064,1.386633
MB-0906,-0.88240117,-1.1498251,1.78211,-0.32579964,-0.8057523,0.49926054,2.5473952,-0.66728306,3.4106503,1.5222044,-0.7313867,-0.72217536,-0.14619374,-0.038080215,-0.7211792,-0.86160535,-1.0574118,-1.1285046,-0.7995881,0.77816176,1.1305348,1.4062566,-0.65706813,-0.5183241,-0.84073025
MB-0249,-0.88240117,-1.1498251,-0.72468585,-0.8112837,-0.8057523,1.4954678,3.1125202,-0.66728306,3.4181895,-0.97656435,-0.7313867,-0.72217536,-1.1363635,-0.78668106,-0.7211792,2.6027334,1.4055558,2.1140661,-0.7995881,-0.7841134,-0.41862142,0.32474148,-0.65706813,-0.5183241,2.404306
MB-0660,-0.88240117,-1.1498251,-0.72468585,-0.8112837,-0.8057523,2.2256227,3.4851036,-0.66728306,4.2463956,-0.97656435,-0.7313867,-0.72217536,-1.1363635,-0.78668106,-0.7211792,3.7684014,1.5034372,2.4674382,-0.7995881,-0.7841134,-0.6326306,0.5524801,-0.65706813,-0.5183241,2.9040675
MB-0497,0.10640168,-0.4881571,-0.72468585,-0.8112837,-0.70778334,-1.0862778,1.4210379,-0.66728306,-0.7212876,0.397762,0.48544186,-0.72217536,-1.0485044,0.50211287,1.7930534,-0.86160535,-1.0174583,0.55824804,-0.7995881,-0.7841134,-0.84214246,-0.8235022,0.7437558,1.2640781,0.17511547
